id,year,month,day,1st,2nd,3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
547,1991,8,24,6491,8826,1643,375,986,1344,4069,7186,7297,7635,8673,8985,9516,2060,2316,2688,4251,5396,6854,7382,7625,9386,9503
548,1991,8,25,5612,3958,9579,365,1863,3322,4385,5146,6673,7418,7456,9228,9296,190,1017,2449,3254,4003,4032,5057,6436,9179,9389
549,1991,8,31,5857,1023,6078,312,1293,2189,2362,2733,2790,4325,6597,6746,7897,339,692,751,1241,1512,1812,1849,6247,7551,9826
550,1991,9,1,8102,7406,3401,988,1398,2070,2287,2832,3604,7298,7394,8352,8844,234,3336,5937,5939,5967,6234,6572,6824,7504,7781
551,1991,9,7,3232,1443,3466,1416,3668,4522,7224,8594,8965,9240,9309,9476,9766,1820,2898,4333,5315,5608,5964,6040,7644,9070,9187
552,1991,9,8,9617,882,4244,947,1078,1814,2655,6437,7723,8435,8739,9090,9982,60,1112,2550,4597,5190,6089,6617,8059,8234,9197
553,1991,9,14,9853,3895,7790,799,2218,3206,3710,4852,5153,8039,8280,9292,9634,194,401,1604,2717,3227,7254,7489,7976,8531,8707
554,1991,9,15,3051,9934,4927,140,1005,4835,6091,6328,6738,6886,7313,7635,9955,124,2332,3723,7343,8572,8957,9087,9734,9911,9935
555,1991,9,21,3760,8848,1843,793,2183,3768,5131,6550,6627,7667,9196,9208,9355,3432,3433,5537,5768,6415,6539,7206,7848,8218,8938
556,1991,9,22,1585,4219,4317,1115,1559,2295,2850,3017,3608,4917,6148,8125,9817,2100,2862,4681,5181,5377,5661,5945,6386,6598,9266
557,1991,9,28,9904,8120,3326,442,1893,2854,5293,5375,7066,7571,8228,8517,8817,769,931,3161,3988,7731,8115,8290,9451,9515,9823
558,1991,9,29,9658,9586,2981,2227,2451,2513,3086,3722,4884,5176,5350,7949,8939,1663,1945,2467,2869,3812,6098,8209,8416,8683,9627
559,1991,10,5,9849,7008,491,447,1088,2618,3347,4766,4887,6467,7457,7980,9470,143,1062,1418,2175,3825,4136,4880,4916,7826,9538
560,1991,10,6,7161,5812,5743,820,1903,2453,2475,3627,4311,5851,6356,6668,9458,757,953,2085,2847,4319,4616,4729,6930,8752,9417
561,1991,10,12,2141,5024,2519,715,774,1287,2969,4925,4984,6389,8521,8531,9392,110,2326,3005,4601,4773,6510,7827,8317,8857,8878
562,1991,10,13,8697,2425,1184,274,2001,2325,3374,3383,5268,5979,6177,7625,7866,977,1648,3867,4079,5574,5806,6090,9032,9493,9728
563,1991,10,19,1002,3966,8187,995,1134,1532,1771,3748,4476,5129,7580,8061,8681,3542,4401,4412,4425,5806,6961,7061,8114,8803,8887
564,1991,10,20,2807,9776,4107,95,2286,2738,2869,2972,3780,5104,6121,7746,8049,199,682,710,988,3337,3369,3460,4155,4345,4666
565,1991,10,26,9337,309,6551,39,187,2710,3524,4186,4531,4836,4880,6935,7383,1832,2111,2452,2909,2923,3179,4118,7352,8361,8812
566,1991,10,27,2599,3166,3445,2554,2649,4383,7276,7333,7885,8088,8719,8871,9006,442,1066,1730,2990,6687,7246,8862,8954,9255,9721
567,1991,11,2,8353,3854,628,183,2723,3703,4694,5222,6533,8474,8750,8935,9551,1585,2357,3892,4089,4152,5458,5974,6762,7840,9128
568,1991,11,3,1113,2567,2854,1276,3007,3362,3864,5572,6466,7350,7614,7713,7766,10,822,1669,3047,4478,6073,6205,6231,7887,8813
569,1991,11,9,2417,6859,2353,494,1465,2442,4087,5780,7277,7415,7616,7833,9000,735,5050,5513,5950,6079,6090,6352,6424,7175,9730
570,1991,11,10,21,7127,3269,1148,2469,2989,3625,4292,5934,6790,7701,9364,9838,709,1398,3528,4141,4754,5625,7200,8454,9223,9532
571,1991,11,16,7329,4761,945,596,2213,2647,3028,4819,5028,5306,7970,8500,8747,1402,1777,2038,2741,3229,6284,9336,9798,9805,9945
572,1991,11,17,4070,5578,4602,406,2600,3560,3950,4680,5816,7400,8149,8333,8437,759,2662,3713,6515,6524,7452,7558,8463,8634,9504
573,1991,11,23,2555,8896,3146,371,1162,2574,2776,3428,3837,5401,5452,6250,7864,245,865,1507,2583,3241,3970,4209,4806,7528,8786
574,1991,11,24,6375,4634,5105,79,939,1131,2239,2281,6400,6745,7040,7215,8284,172,1588,2166,3744,5379,5587,5648,6293,7440,9079
575,1991,11,30,7053,7456,6240,1392,1680,2301,3122,4081,4195,4656,7566,7584,8205,1159,2520,3842,3919,4091,6020,6389,7251,7487,7961
576,1991,12,1,9451,7296,2903,112,513,2698,2914,3318,5050,5422,5624,5864,7834,1041,1290,2079,4086,4170,6966,7859,8024,8685,9436
577,1991,12,7,5609,492,9839,1241,1680,2158,2437,2891,3008,4000,6486,6681,8862,767,1919,4643,7376,7569,7599,7740,7783,7861,9912
578,1991,12,8,1947,6513,7846,677,1765,2111,2682,3077,3490,5840,6964,7174,8935,580,728,1847,2640,3225,5493,5552,7049,7561,7920
579,1991,12,14,9584,6215,8857,1671,3639,4434,4650,5482,6498,6588,7121,9451,9611,1428,3698,4793,5495,5982,6077,6528,7430,8301,8574
580,1991,12,15,1511,570,462,79,251,861,3517,4447,5133,5412,6165,7711,9520,821,983,1600,2373,2641,3521,3593,4516,4794,6811
581,1991,12,21,1526,4119,18,1192,2531,2579,3061,3118,4025,6478,7942,8712,9494,4504,5314,5361,6989,7194,7441,7759,8203,8928,9119
582,1991,12,22,5640,5374,4286,2929,3097,3434,4459,5047,6160,7152,8347,8596,9933,1036,1359,1921,2312,2898,4402,6884,7239,8872,8899
583,1991,12,28,5028,6641,9835,299,3925,4112,5329,5568,6065,6092,7159,8940,9928,484,485,2189,3235,3296,3638,6864,7993,8443,9959
584,1991,12,29,912,6728,2561,837,1577,2816,3279,3971,4396,6130,7508,7807,8965,643,1452,1915,2238,2468,4402,5450,8231,8477,9183
585,1992,1,4,7250,6973,9020,718,2450,5400,5525,5655,6741,8430,8979,9600,9839,1668,1690,2418,4280,6753,7511,7870,7914,7954,9251
586,1992,1,5,3318,5550,2004,965,1167,5162,5849,5945,6135,7096,7848,9447,9656,1444,2325,2370,3631,4412,6931,7437,7887,8782,9208
